short_name,long_name,definition,expected_value,syntax,example,occurrence,section,migs_eu,migs_ba,migs_pl,migs_vi,migs_org,me,mimarks_s,mimarks_c,misag,mimag,mibig,pos,preferred_unit
submitted_to_insdc,submitted to insdc,"Depending on the study (large-scale e.g. done with next generation sequencing technology, or small-scale) sequences have to be submitted to SRA (Sequence Read Archive), DRA (DDBJ Read Archive) or via the classical Webin/Sequin systems to Genbank, ENA and DDBJ. Although this field is mandatory, it is meant as a self-test field, therefore it is not necessary to include this field in contextual data submitted to databases",boolean,{boolean},,1,investigation,M,M,M,M,M,M,M,M,M,M,M,1,
investigation_type,investigation type,"Nucleic Acid Sequence Report is the root element of all MIGS/MIMS compliant reports as standardized by Genomic Standards Consortium. This field is either eukaryote,bacteria,virus,plasmid,organelle, metagenome,mimarks-survey, mimarks-specimen, metatranscriptome, biosynthetic gene cluster, single amplified genome, or metagenome-assembled genome","eukaryote, bacteria_archaea, plasmid, virus, organelle, metagenome,mimarks-survey, mimarks-specimen, metatranscriptome, biosynthetic gene cluster, single amplified genome, or metagenome-assembled genome",[eukaryote|bacteria_archaea|plasmid|virus|organelle|metagenome|mimarks-survey|mimarks-specimen|metatranscriptome|mibig|misag|mimag],,1,investigation,M,M,M,M,M,M,M,M,M,M,M,2,
project_name,project name,Name of the project within which the sequencing was organized,,{text},,1,investigation,M,M,M,M,M,M,M,M,M,M,M,3,
experimental_factor,experimental factor,"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.43) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2013-10-25) terms please see http://purl.bioontology.org/ontology/OBI",text or EFO and/or OBI,{term|text},,1,investigation,X,X,X,X,X,C,C,X,C,C,X,4,
lat_lon,geographic location (latitude and longitude),The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system,decimal degrees,{float} {float},,1,environment,M,M,M,M,M,M,M,M,M,M,M,5,
depth,geographic location (depth),Please refer to the definitions of depth in the environmental packages,-,-,,0,environment,E,E,E,E,E,E,E,E,E,E,E,6,
alt_elev,geographic location (altitude/elevation),Please refer to the definitions of either altitude or elevation in the environmental packages,-,-,,0,environment,E,E,E,E,E,E,E,E,E,E,E,7,
geo_loc_name,"geographic location (country and/or sea,region)","The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)",country or sea name (INSDC or GAZ);region(GAZ);specific location name,{term};{term};{text},Germany:Sylt:Hausstrand,1,environment,M,M,M,M,M,M,M,M,M,M,M,8,
collection_date,collection date,"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant",date and time,{timestamp},,1,environment,M,M,M,M,M,M,M,M,M,M,M,9,
env_biome,environment (biome),"See http://www.environmentontology.org/annotation-guidelines. Include multiple biomes separated by a pipe, if appropriate. EnvO's biome class and its subclasses are intended to identify the ecosystem in which an entity of interest is embedded (i.e. the entity is a component of that system). In order for an ecosystem to qualify as a biome, ecological communities (or representatives thereof) resident in an ecosystem must have evolved adaptations to that ecosystem. Thus, biomes possess an evolutionarily consequential degree of temporal and spatial stability. Recommend subclasses of biome [ENVO:00000428]","Add terms that identify the ecosystem/biome from which the entity comes, multiple terms can be separated by pipes e.g.  mangrove biome [ENVO:01000181] | estuarine biome [ENVO:01000020]. Recommend subclasses of biome [ENVO:00000428]",{term},,1,environment,C,M,M,M,M,M,M,M,M,M,M,10,
